,info,ticker
0," Công ty Cổ phần Nhựa An Phát Xanh (AAA) có tiền thân là Công ty TNHH Anh Hai Duy được thành lập vào năm 2002. Công ty hoạt động chính trong lĩnh vực sản xuất các loại bao bì nhựa. Công ty là doanh nghiệp có quy mô lớn nhất trong ngành với 07 nhà máy sản xuất bao bì có tổng công suất 108.000 tấn/năm và 01 nhà máy sản xuất phụ gia CaCO3 An Phát - Yên Bái có công suất 222.000 tấn/năm. So với các doanh nghiệp cùng ngành trong nước khác như Công ty Cổ phần Nhựa Hưng Yên (công suất khoảng 1.000 tấn/tháng), Công ty Cổ phần Nhựa Tú Phương (công suất khoảng 800 tấn/tháng) và một số doanh nghiệp liên doanh khác ở Phía Nam (công suất dao động từ 500 – 700 tấn/tháng).  AAA được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ cuối năm 2016.  ",AAA
1," Công ty Cổ Phần Thủy Sản Mê Kông (AAM) có tiền thân là Xí nghiệp Rau quả đông lạnh xuất khẩu Hậu Giang được thành lập vào năm 1979. Từ năm 2002, Công ty chính thức hoạt động theo mô hình công ty cổ phần. AAM là doanh nghiệp hoạt động trong lĩnh vực kinh doanh, chế biến xuất khẩu nông sản, thủy sản ở khu vực Đồng Bằng Sông Cửu Long - một khu vực có thế mạnh về nuôi trồng và kinh doanh nông thủy sản của cả nước hiện nay với các sản phẩm chính là cá tra fillet (có tổng công suất chế biến 9.000 tấn/năm), bạch tuộc (có tổng công suất chế biến 1.000 tấn/năm), mực cá đuối đông lạnh xuất khẩu và thủy sản khác xuất khẩu. Công ty hiện có 1 nhà máy với 3 phân xưởng chế biến. Hiện tại Thủy sản Mekong đứng ở vị trí thứ 15 trong số 168 Công ty hoạt động trong lĩnh vực chế biến thủy sản. AAM được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2009.  ",AAM
2,"Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa (AAT), tiền thân là Công ty Tiên Sơn Thanh Hoá - TNHH được thành lập năm 1995 với số vốn điều lệ là 550 triệu đồng. Năm 2004, công ty chuyển đổi mô hình kinh doanh thành công ty cổ phần. Lĩnh vực kinh doanh chính của Công ty là May xuất khẩu; kinh doanh khách sạn; kinh doanh nông sản; cho thuê kho, xưởng sản xuất...Công ty hiện đang sở hữu 6 nhà máy đang hoạt động với tổng giá trị đầu tư gần 1,000 tỷ đồng đặt trên địa bàn tỉnh Thanh Hóa. Tổng cộng các nhà máy của Công ty có 161 chuyền may, công suất trung bình khoảng 2.300.000 sản phẩm/tháng. Công ty có một lượng khách hàng lớn, thường xuyên ở cả trong và ngoài nước, chủ yếu đến từ Hàn Quốc, Đài Loan, Mỹ, Nhật Bản, ngoài ra công ty đang hướng mở rộng khách hàng đến các nước EU. AAT được giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 03/2021. ",AAT
3,"Công ty Cổ phần Đầu tư Nhãn Hiệu Việt (ABR) có tiền thân là Công ty Cổ phần Chế biến Gỗ Kiến An được thành lập vào năm 2012. Công ty hoạt động trong lĩnh vực đầu tư phát triển thương hiệu, đầu tư hệ thống bán lẻ và dịch vụ truyền thông. ABR trở thành công ty đại chúng từ năm 2016. Công ty đã xây dựng chuỗi cửa hàng thời trang và dịch vụ ăn uống với thương hiệu Journey Men Style, Umen và Dalat Land Coffee. Hệ thống truyền thông số với thương hiệu D+ Media (Digital Plus Media) với công cụ chiến lược là Digital Poster đã được triển khai tại các nhà hàng, quán cà phê, bida... Bên cạnh đó, Công ty cũng tìm kiếm đầu tư vào các nhãn hiệu tiềm năng thông qua hình thức mua bán sáp nhập. ABR chính thức được giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ ngày 03/03/2022. ",ABR
4,"Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận (ABS) có tiền thân là Công ty Vật tư Nông nghiệp Thuận Hải được thành lập vào năm 1975. Công ty hoạt động chính trong lĩnh vực kinh doanh phân phối vật tư nông nghiệp, phân bón và xăng dầu. ABS chính thức hoạt động theo mô hình công ty cổ phần từ năm năm 2004. Công ty là nhà phân phối độc quyền các sản phẩm phân bón của Tập đoàn Năm Sao. ABS hiện sở hữu hệ thống 5 cửa hàng xăng dầu, bao gồm: Cửa hàng Xăng dầu số 9, Cửa hàng Xăng dầu Ngã Ba Gộp, Cửa hàng Xăng dầu Km 29, Cửa hàng Xăng dầu Thuận Hòa và Cửa hàng Xăng dầu Thắng Hải. Ngoài ra, Công ty còn tham gia kinh doanh cho thuê kho tàng, bến bãi và hợp tác góp vốn đầu tư kinh doanh bất động sản. Ngày 18/03/2020, ABS chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE). ",ABS
5," Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre (ABT) tiền thân là Xí Nghiệp Đông Lạnh thành lập năm 1977. Năm 2004 chuyển sang hoạt động theo mô hình cổ phẩn. Cổ phiếu của công ty niêm yết tại HOSE vào năm 2006. Hoạt động chính của Công ty là chế biến và xuất nhập khẩu các loại thủy sản mang thương hiệu AQUATEX BENTRE. Trong đó 2 loại sản phẩm chính là nghêu và cá tra chiếm trên 90% doanh thu. Công ty có diện tích vùng nuôi lên tới 60 ha. Công ty hiện có vùng nuôi cá tra đạt cấp chứng nhận GlobalGAP lớn nhất Châu Á với diện tích 43,5 ha cung cấp 15.000 tấn cá tra thịt/năm và là doanh nghiệp thứ 2 của Việt Nam và Thế giới được cấp chứng nhận GlobalGAP cho cá tra Pangasius. Sản phẩm của công ty đã được xuất khẩu đến 35 nước, lãnh thổ trên thế giới với mức chất lượng được tất cả các khách hàng và thị trường chấp nhận. Sản phẩm của công ty có mặt tại Châu Âu, Nhật, Mỹ, Thụy Điển, Hy Lạp, Mexico, Libăng, Israel, Dominica và Ả rập...Ngày 25/12/2006, ABT chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE)  ",ABT
6," Ngân hàng Thương mại Cổ phần Á Châu (ACB) được thành lập năm 1993. Ngân hàng hoạt động trong lĩnh vực huy động, kinh doanh vốn và cung cấp các dịch vụ tài chính liên quan. Trong năm 2022, Biên lãi thuần (NIM) của ACB bằng 4,31%, tăng 0,22% so với cùng kỳ. Tỷ lệ nợ xấu bằng 0.74% thuộc hàng thấp nhất trong ngành ngân hàng. Tỷ lệ bao phủ nợ xấu đạt 159,27%, cho thấy Ngân hàng rất thận trọng trong việc trích lập dự phòng rủi ro cho vay. Lợi nhuận sau thuế ở mức 13.688,2 tỷ đồng, tăng 42,54% so với cùng kỳ. Tỷ suất lợi nhuận trên vốn chủ sở hữu (ROE) là 26,49%. Ngày 09/12/2020, ACB chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).  ",ACB
7,"Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC (ACC) có tiền thân là Xí nghiệp bê tông cốt thép và bê tông nhựa nóng trực thuộc Công ty Đầu tư và Phát triển Công nghiệp Becamex IDC được thành lập năm 2003. Hoạt động chính là sản xuất kinh doanh bê tông cốt thép, bê tông nhựa nóng, bê tông xi măng. Sản phẩm của công ty hầu hết đều được Công ty Đầu tư và Phát triển công nghiệp bao tiêu đầu ra. Vốn điều lệ hiện nay của công ty là 100 tỷ đồng. Năm 2009 công ty nhận chứng chỉ ISO 9001:2008 do Trung Tâm Chứng Nhận Phù Hợp Quacert và niêm yết cổ phiếu ACC lần đầu tiên trên sàn giao dịch Upcom và năm 2011 cổ phiếu ACC giao dịch chính thức trên HOSE. ",ACC
8,"Công ty Cổ phần Gỗ An Cường (ACG), tiền thân là Công ty TNHH Thương mại An Cường, được thành lập năm 1994. ACG là nhà sản xuất cung cấp nguyên vật liệu trang trí nội thất và vật liệu décor tại Việt Nam và xuất khẩu nội thất tại Nhật Bản, Đông Nam Á, Mỹ và châu Âu. Các dòng vật liệu từ gỗ công nghiệp của ACG như ván MFC, Melamine MDF, Laminate, Acrylic, Veneer, cửa gỗ công nghiệp và các phụ phẩm được ứng dụng trong thiết kế và trang trí nội thất cho nhà ở, chung cư, trường học, bệnh viện, siêu thị, nội thất văn phòng, trần, vách toilet, cửa đi, ván sàn ... Hiện nay, ACG có 23 showroom trên toàn quốc cùng với hệ thống đại diện nước ngoài tại Cambodia, Malaysia, Nhật Bản, Canada, Mỹ, Úc. ACG hiện nắm giữ hơn 55% thị phần vật liệu trang trí nội thất và vật liệu décor thuộc phân khúc tầm trung và cao cấp tại Việt Nam (Theo Báo cáo thường niên 2020 của ACG).  ",ACG
9," Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang (ACL) được thành lập năm 2003. Năm 2007, công ty chuyển đổi sang hoạt động theo mô hình cổ phần. Hoạt động chính của công ty là chế biến và xuất khẩu thủy sản. Sản phẩm chính của ACL là cá tra chế biến bao gồm cá tra phi lê trắng và cá tra IQF hồng. Nhà máy của ACL có công suất chế biến khoảng 250 tấn cá nguyên liệu / ngày, tương đương khoảng 25.000 tấn cá thành phẩm / năm. Sản phẩm của ACL được xuất khẩu sang hơn 40 quốc gia khác trên thế giới như Singapore, Malaysia, Indonesia, Philippines, Nhật Bản, EU (Ba Lan, Pháp), Ageria, Mỹ, Úc và Các Tiểu vương quốc Ả Rập Thống nhất. Hiện công ty là một trong những nhà cung cấp sản phẩm cá tra cho hệ thống siêu thị Walmart toàn cầu. ACL có hơn 25 năm kinh nghiệm trong lĩnh vực nông nghiệp. ACL có trang trại nổi tiếng và hàng đầu trong lĩnh vực nuôi cá tra tại Việt Nam, với diện tích nuôi hơn 100 ha, sản lượng khoảng 35.000 tấn nguyên liệu / năm cung cấp cho hoạt động sản xuất kinh doanh của nhà máy. Ngày 05/09/2007, ACL chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).  ",ACL
